anno_vigencia,mes_vigencia,tipo_carga,sum_importacion,sum_exportacion,sum_transbordo
2023,2,GRANEL SOLIDO DIFER. DE CARBON,421999,0,0
2023,3,CARBON AL GRANEL,0,136464,0
2023,3,CONTENEDORES,463275,233995,58218
2023,3,GENERAL,35797,5556,114
2023,3,GRANEL LIQUIDO,47121,0,0
2023,3,GRANEL SOLIDO DIFER. DE CARBON,460698,156986,0
2023,4,CARBON AL GRANEL,0,84820,0
2023,4,CONTENEDORES,502714,204114,40555
2023,4,GENERAL,158641,10580,0
2023,4,GRANEL LIQUIDO,7207,0,0
2023,4,GRANEL SOLIDO DIFER. DE CARBON,631967,0,0
2023,5,CARBON AL GRANEL,0,46746,0
2023,5,CONTENEDORES,489335,234725,82820
2023,5,GENERAL,89717,0,0
2023,5,GRANEL LIQUIDO,42409,9493,0
2023,5,GRANEL SOLIDO DIFER. DE CARBON,537931,0,0
2023,6,CARBON AL GRANEL,0,83896,0
2023,6,CONTENEDORES,556379,234060,94848
2023,6,GENERAL,169112,602,1429
2023,6,GRANEL LIQUIDO,39221,1490,0
2023,6,GRANEL SOLIDO DIFER. DE CARBON,517502,253865,0
2023,7,CARBON AL GRANEL,0,16500,0
2023,7,CONTENEDORES,499518,247620,54418
2023,7,GENERAL,120022,421,242
2023,7,GRANEL LIQUIDO,41778,0,0
2023,7,GRANEL SOLIDO DIFER. DE CARBON,301733,0,0
2023,8,CARBON AL GRANEL,0,104500,0
2023,8,CONTENEDORES,486327,246252,38679
2023,8,GENERAL,97498,508,0
2023,8,GRANEL LIQUIDO,32490,9500,0
2023,8,GRANEL SOLIDO DIFER. DE CARBON,411474,0,0
2023,9,CARBON AL GRANEL,0,101150,0
2023,9,CONTENEDORES,466764,234714,37439
2023,9,GENERAL,77800,7337,0
2023,9,GRANEL LIQUIDO,11173,0,0
2023,9,GRANEL SOLIDO DIFER. DE CARBON,556338,86017,0
2023,10,CARBON AL GRANEL,0,52022,0
2023,10,CONTENEDORES,560633,259411,79441
2023,10,GENERAL,95829,166,2834
2023,10,GRANEL LIQUIDO,31721,0,0
2023,10,GRANEL SOLIDO DIFER. DE CARBON,450250,0,0
2023,11,CARBON AL GRANEL,0,54409,0
2023,11,CONTENEDORES,445720,203545,68440
